"No.","Name","Price","Quantity"
1,"น้ำมะนาวแท้","60-80","ต่อชิ้น/ตัว/หัว/ลูก"
2,"มะเขือเหลือง","30-35","กิโลกรัม"
3,"มะเขือไข่เต่า","40-50","กิโลกรัม"
4,"มะเขือไข่เต่าม่วง","40-50","กิโลกรัม"
5,"มะเขือไข่เต่าขาว","40-50","กิโลกรัม"
6,"มะเขือลิง","40-50","กิโลกรัม"
7,"มะเขือสะดิ้ง","40-50","กิโลกรัม"
8,"พริกจินดา คละสี / พริกขี้หนู คละสี แห้ง ติดก้าน","0-0","กิโลกรัม"
9,"พริกยอดสนแดง","50-60","กิโลกรัม"
10,"พริกขี้หนูจินดาแห้ง (ไม่เด็ด)","135-235","กิโลกรัม"
11,"พริกขี้หนูจินดาแห้ง (เด็ด)","135-235","กิโลกรัม"
12,"พริกแดงเม็ดใหญ่แห้ง","92-110","กิโลกรัม"
13,"พริกยอดสนเขียว","100-160","กิโลกรัม"
14,"พริกขี้หนูสวน เด็ดก้าน","130-200","กิโลกรัม"
15,"พริกจินดา คละสี / พริกขี้หนู คละสี แห้ง เด็ดก้าน","0-0","กิโลกรัม"
16,"พริกขี้หนูยอดสนแห้ง","230-280","กิโลกรัม"
17,"พริกขี้หนูยอดสนเขียว","50-60","กิโลกรัม"
18,"พริกขี้หนูยอดสน คละสี","50-70","กิโลกรัม"
19,"ผักบุ้งนา / ผักบุ้งแดง","20-30","กิโลกรัม"
20,"ตะไคร้","10-15","กิโลกรัม"
21,"แขนง (กะหล่ำปลี)","60-70","กิโลกรัม"
22,"แขนงคะน้า","60-70","กิโลกรัม"
23,"เคล / คะน้าใบหยิก","90-100","กิโลกรัม"
24,"ผักแขยง","40-50","กิโลกรัม"
25,"มะเขือม่วงก้านเขียว","50-70","กิโลกรัม"
26,"กะหล่ำปลีพันธุ์หนัก (จีน) ลอก","30-35","กิโลกรัม"
27,"ผักกาดหางหงษ์","40-50","กิโลกรัม"
28,"กะหล่ำดาว","110-130","กิโลกรัม"
29,"กะหล่ำปลีพันธุ์เบา (จีน) ลอก","30-35","กิโลกรัม"
30,"กะหล่ำม่วง","25-30","กิโลกรัม"
31,"ฟักทองเกษตร ทองอำไพ – เบอร์เล็ก","17-18","กิโลกรัม"
32,"ฟักทองเกษตร ศิลาทอง – เบอร์ใหญ่","28-33","กิโลกรัม"
33,"ฟักทองเกษตร ทองอำไพ – เบอร์ใหญ่","28-33","กิโลกรัม"
34,"ฟักทองเกษตร ศรีเมือง – เบอร์ใหญ่","28-33","กิโลกรัม"
35,"ฟักทองคางคก – เบอร์กลาง","25-30","กิโลกรัม"
36,"ฟักทองคางคก – เบอร์เล็ก","17-18","กิโลกรัม"
37,"ฟักทองญี่ปุ่น ขนาดกลาง","50-55","กิโลกรัม"
38,"ฟักทองญี่ปุ่น","50-55","กิโลกรัม"
39,"ฟักทอง คละขนาด","22-25","กิโลกรัม"
40,"ฟักทองเกษตร ทองอำไพ – เบอร์กลาง","25-30","กิโลกรัม"
41,"ฟักทองเกษตรลาย – เบอร์กลาง","25-30","กิโลกรัม"
42,"หอมแดง ตัดจุก ไม่ปอกเปลือก ขนาดเล็ก","75-80","กิโลกรัม"
43,"ฟักทองเกษตรลาย – เบอร์ใหญ่","28-33","กิโลกรัม"
44,"ฟักทองคางคก – เบอร์ใหญ่","28-33","กิโลกรัม"
45,"หอมแดง ตัดจุก ไม่ปอกเปลือก ขนาดใหญ่","75-90","กิโลกรัม"
46,"หอมแดง ติดจุก ไม่ปอกเปลือก ขนาดใหญ่","75-85","กิโลกรัม"
47,"หอมแดง ติดจุก ไม่ปอกเปลือก ขนาดเล็ก","75-75","กิโลกรัม"
48,"หอมแดง","75-90","กิโลกรัม"
49,"มะเขือเทศเนื้อ","70-80","กิโลกรัม"
50,"ถั่วพู","100-140","กิโลกรัม"
51,"มะระจีน หน้า 4","28-36","กิโลกรัม"
52,"ข้าวโพดหวาน ปอกเปลือก ขนาดใหญ่","25-30","กิโลกรัม"
53,"ข้าวโพดข้าวเหนียว – เบอร์เล็ก","12-13","กิโลกรัม"
54,"ข้าวโพดหวาน ปอกเปลือก ขนาดเล็ก","18-20","กิโลกรัม"
55,"ข้าวโพดข้าวเหนียว ปอกเปลือก คละขนาด","0-0","กิโลกรัม"
56,"เมล็ดข้าวโพดสด","40-40","กิโลกรัม"
57,"กระเทียมไทย กลีบเล็ก ปอกเปลือก","90-110","กิโลกรัม"
58,"ข้าวโพดอ่อน","40-50","กิโลกรัม"
59,"ข้าวโพดอ่อน เปลือย","45-70","กิโลกรัม"
60,"กระเทียมไทย – เบอร์เล็ก","100-100","กิโลกรัม"
61,"กระเทียมไทย กลีบใหญ่ ปอกเปลือก","90-110","กิโลกรัม"
62,"กระเทียมจีน – เบอร์กลาง","70-80","กิโลกรัม"
63,"กระเทียมไทย – เบอร์กลาง","100-110","กิโลกรัม"
64,"หน่อไม้ไผ่ตง","15-25","กิโลกรัม"
65,"หน่อไม้ไผ่ตงต้ม","40-55","กิโลกรัม"
66,"ลูกมะกรูด – เบอร์กลาง (5 ก.ก.)","200-250","กิโลกรัม"
67,"ลูกมะกรูด – เบอร์เล็ก (5 ก.ก.)","150-180","กิโลกรัม"
68,"ลูกมะกรูด – เบอร์ใหญ่ (5 ก.ก.)","250-280","กิโลกรัม"
69,"ใบมะกรูด เด็ดใบ","40-60","กิโลกรัม"
70,"แครอท ออสเตรเลีย","20-35","กิโลกรัม"
71,"แครอท","20-30","กิโลกรัม"
72,"เบบี้แคร์รอต","100-130","กิโลกรัม"
73,"หอมหัวใหญ่ ไม่ปอกเปลือก เบอร์ A","35-40","กิโลกรัม"
74,"พริกยักษ์ คละสี","100-110","กิโลกรัม"
75,"พริกชี้ฟ้าเขียว (สดดำ)","70-80","กิโลกรัม"
76,"เห็ดหูหนูขาวสด","0-0","กิโลกรัม"
77,"มันฝรั่ง ไม่ล้าง คละขนาด","25-30","กิโลกรัม"
78,"มันม่วง ขนาดกลาง","15-18","กิโลกรัม"
79,"มันม่วง ขนาดใหญ่","23-24","กิโลกรัม"
80,"มันซุป/เบบี้โปเตโต้","28-40","กิโลกรัม"
81,"มันฝรั่ง ล้าง เบอร์ A","35-40","กิโลกรัม"
82,"มันม่วง คละขนาด","15-17","กิโลกรัม"
83,"มันญี่ปุ่น","70-80","กิโลกรัม"
84,"มันฝรั่ง – เบอร์กลาง","28-40","กิโลกรัม"
85,"มันฝรั่ง – เบอร์เล็ก","28-30","กิโลกรัม"
86,"มันฝรั่ง – เบอร์ใหญ่","35-40","กิโลกรัม"
87,"มันไข่ เหลือง ขนาดเล็ก","12-14","กิโลกรัม"
88,"มันฝรั่ง ล้าง เบอร์ O","35-38","กิโลกรัม"
89,"มันม่วง ขนาดเล็ก","13-15","กิโลกรัม"
90,"มันฝรั่ง ล้าง คละขนาด","28-40","กิโลกรัม"
91,"มันฝรั่ง ล้าง เบอร์ B","30-36","กิโลกรัม"
92,"ขิงแก่ ปอก ล้าง ตัดแต่ง","60-70","กิโลกรัม"
93,"ขิงซอย","50-60","กิโลกรัม"
